,sent_type,university,sent_id,aligned_to,sentence,cs_word_id,preceding_zh,first_cs_word_zh,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,eng_translation,preceding_eng,first_cs_word_eng,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,,
2369,non-code-switch,PSU,5438,PSU_1817,大 功率 吸尘器,3,功率,吸尘器,功率 吸尘器,root 吸尘器 吸尘器,High-power vacuum cleaner,vacuum,cleaner,vacuum cleaner,root cleaner cleaner,,
2371,non-code-switch,PSU,2051,PSU_1818,无不良 嗜好 ， 可以 保证 公共 区域 的 卫生 。,9,的,卫生,的 卫生,dobj 可以 的,"No bad habits, can ensure the health of the public area.",the,health,the health,obj ensure health,,
2373,non-code-switch,PSU,5022,PSU_1821,有 没 有 图片 啊 ？,4,有,图片,有 图片,dobj 有 图片,Are there any pictures?,any,pictures,any pictures,nsubj Are pictures,,
2375,non-code-switch,PSU,7611,PSU_1826,租车 公司 的 保险 跟 驾照 没关系 。,4,的,保险,的 保险,nsubj 保险 没关系,The car rental company's insurance has nothing to do with the driver's license.,company's,insurance,company's insurance,nsubj insurance has,,
2377,non-code-switch,PSU,2732,PSU_1829,太 不 好意思 已经 回国 却 忘记 留 微 信号 码 了 房子 并 未 出租,7,却,忘记,却 忘记,conj 忘记 留,Too ashamed to have returned home but forgot to leave the micro signal code house and not rent,but,forgot,but forgot,conj ashamed forgot,,
2379,non-code-switch,PSU,2217,PSU_1835,标题 的 里程 数 忘 了 改 了 。,3,的,里程,的 里程,compound:nn 里程 数,I forgot the mileage in the title and changed it.,the,mileage,the mileage,obj forgot mileage,,
2381,non-code-switch,PSU,3070,PSU_1836,接着 顶 起来 ~ ~ 价格 好 商量,1,</s>,接着,</s> 接着,advmod 接着 顶,Then top up ~ ~ price easy to discuss,</s>,"Then,","</s> Then,",advmod Then top,,
2383,non-code-switch,PSU,6085,PSU_1838,还有 上学 方便 ， 离 站台 很近 。,5,，,离,， 离,case 离 站台,It's also convenient to go to school and close to the platform.,to,the,to the,det the platform,,
2385,non-code-switch,PSU,2124,PSU_1839,沿途 的 小 地方 也 可以 。,3,的,小,的 小,amod 小 地方,Small places along the way are also fine.,</s>,small,</s> small,amod Small places,,
2387,non-code-switch,PSU,6664,PSU_1843,餐桌 配 四 把 椅子 $406 .,1,</s>,餐桌,</s> 餐桌,nsubj 餐桌 配,Dining table with four chairs is $406.,Dining,table,Dining table,nsubj table $,,
2389,non-code-switch,PSU,2201,PSU_1844,二 楼 三 间 卧室 两 个 卫生间 。,5,间,卧室,间 卧室,nsubj 卧室 卫生间,The second floor has three bedrooms and two bathrooms.,three,bedrooms,three bedrooms,obj has bedrooms,,
2391,non-code-switch,PSU,96,PSU_1848,一 楼 客厅 ， 餐厅 和 厨房 。,3,楼,客厅,楼 客厅,root  客厅,"Living room, dining room and kitchen on the first floor.",</s>,Living room,</s> Living room,compound Living room,,
2393,non-code-switch,PSU,967,PSU_1851,所有 东西 本人 都 很 爱惜 ， 要 搬家 真的 带 不 走 ， 欢迎 它们 的 新 主人 ！,2,所有,东西,所有 东西,nmod:topic 东西 爱惜,"All things I cherish, to move really do not take away, welcome their new owners!",All,things,All things,nsubj things take,,
2395,non-code-switch,PSU,297,PSU_1853,基本 为 村 里 性价比 最高 的 住处 。,6,性价比,最高,性价比 最高,amod 最高 住处,It is the most cost-effective residence in the village.,the,most,the most,advmod most effective,,
2397,non-code-switch,PSU,7712,PSU_1857,如有 需要 ， 欢迎 及时 联系 ， 谢谢 ！,4,，,欢迎,， 欢迎,nsubj ， 及时,"If there is any need, please contact me in time. Thank you!",", ",please,",  please",discourse please contact,,
2399,non-code-switch,PSU,3085,PSU_1858,小区 门口 就 有 公交 车站 ， 可以 坐 ne/e ， 8 - 10 分钟 到 学校 图书馆 。,6,公交,车站,公交 车站,dobj 有 车站,There is a bus stop at the gate of the community. It takes 8 to 10 minutes to get to the school library by NE/E.,bus,stop,bus stop,nsubj is stop,,
2401,non-code-switch,PSU,3926,PSU_1860,基本 就是 拎包 入住 ， 不 需要 买 任何 东西 了 。,4,拎包,入住,拎包 入住,dep 入住 。,"The basic carry bag check-in, do not need to buy anything.",bag,check in,bag check in,acl bag check-in,,
2403,non-code-switch,PIT,856,PIT_0,木质 相 框 ， 可以 给 你 的 书架 书桌 增加 点 小 情趣 。,9,的,书架,的 书架,compound:nn 书架 书桌,"Woody photograph frame, the bookshelf desk that can give you adds a bit of little interest.",the,bookshelf,the bookshelf,compound bookshelf desk,,
2405,non-code-switch,PIT,4086,PIT_2,还 有 一 个 很 给 力 的 暖气,5,个,很,个 很,advmod 很 给,And there's a great heater,a,great,a great,amod great heater,,
2407,non-code-switch,PIT,157,PIT_3,一 张 餐桌 四 张 椅子,4,餐桌,四,餐桌 四,nummod 四 椅子,A table and four chairs,and,four,and four,nummod four chairs,,
2409,non-code-switch,PIT,997,PIT_11,出门 过 两 条 街 就 是 新 符合 。,5,条,街,条 街,dobj 出门 街,Two blocks away is a new line.,two,blocks,two blocks,obl:npmod blocks away,,
2411,non-code-switch,PIT,4223,PIT_21,房租 ： $397 .,1,</s>,房租,</s> 房租,dep 房租 $,Rent: $397.,</s>,Rent,</s> Rent,root rent,,
2413,non-code-switch,PIT,183,PIT_24,请 放心 在 以下 链接 中 查看 实物 图 :,8,查看,实物,查看 实物,compound:nn 实物 图,Please feel free to view the actual images in the following link:,the,actual,the actual,amod actual images,,
2415,non-code-switch,PIT,3633,PIT_25,位置 安全 ， 主要 居民 是 华人 学生 和 犹太人 。,4,，,主要,， 主要,amod 主要 居民,The location is secure and the main residents are Chinese students and Jews.,and,the main,and the main,amod main residents,,
2417,non-code-switch,PIT,999,PIT_26,另 有 全 套 家具 ， 基本 厨具 ， 真正 拎包 入住 ！,7,，,基本,， 基本,amod 基本 厨具,"Another full set of furniture, basic kitchen utensils, real bag occupant!","furniture,",basic,"furniture, basic",amod basic utensils,,
2419,non-code-switch,PIT,1819,PIT_35,有 健身房 泳池 ， 性价比 很 高 ， 房间 和 客厅 很 大 。,13,很,大,很 大,conj 高 大,"It has a gym pool, good value for money, and large rooms and living rooms.",and,large,and large,amod large rooms,,
2421,non-code-switch,PIT,4364,PIT_36,楼 主 可以 考虑 匹 大 的 游泳 俱乐部 。,8,的,游泳,的 游泳,compound:nn 游泳 俱乐部,The owner could consider a large swimming club.,large,swimming,large swimming,compound swimming club,,
2423,non-code-switch,PIT,3243,PIT_39,提供 基本 家具 ， 即 可 入住 ！,2,提供,基本,提供 基本,amod 基本 家具,Basic furnishings are available for immediate occupancy!,</s>,basic,</s> basic,amod Basic furnishings,,
2425,non-code-switch,PIT,596,PIT_40,食物 密封 盒,2,食物,密封,食物 密封,root 盒 密封,Food box,food,box,food box,root box,,
2427,non-code-switch,PIT,1535,PIT_41,费用 ： 水电 煤气 暖气 网络 全 包 ， 价格 可 议 。,4,水电,煤气,水电 煤气,compound:nn 煤气 网络,"Cost: Water, gas and heating network are all included, the price is negotiable.",", ",gas,",  gas",conj Water gas,,
2429,non-code-switch,PIT,1363,PIT_43,房屋 状况 : 全新 装修 ！,4,:,全新,: 全新,amod 全新 装修,Housing condition: brand new and decorated!,brand,new,brand new,appos condition new,,
2431,non-code-switch,PIT,948,PIT_44,感兴趣 的 请 电邮 hk .,4,请,电邮,请 电邮,dobj 请 电邮,"If you are interested, please email HK.",please,email,please email,root email,,
2433,non-code-switch,PIT,679,PIT_50,你 好 ， 我 可以 购买 你 大部分 的 东西 ， 你 可以 加 我 微信吗 ？,1,</s>,你,</s> 你,nsubj 你 好,"Hello, I can buy most of your things, can you add me WeChat?",can,you,can you,nsubj you add,,
2435,non-code-switch,PIT,1453,PIT_62,房间 白天 透亮 ， 完全 不 需要 灯 照明 。,8,需要,灯,需要 灯,compound:nn 灯 照明,The room is bright during the day and does not need any light at all.,any,light,any light,obj need light,,
2437,non-code-switch,PIT,2928,PIT_63,如果 不 介意 ， 还 可以 用 原来 住户 留下 的 床单 被罩 等 。,8,用,原来,用 原来,amod 原来 住户,"If you do not mind, you can also use the original occupants of the bed sheets, blankets and so on.",the,original,the original,amod original occupants,,
2439,non-code-switch,PIT,4390,PIT_64,因为 椅子 放 不 下来 ， 睡 不 好 。,2,因为,椅子,因为 椅子,nsubj 椅子 放,I can't sleep well because the chairs don't come down.,the,chairs,the chairs,nsubj chairs come,,
2441,non-code-switch,PIT,3881,PIT_67,地理 位置 相当 好 ， 性价比 非常 高 。,2,地理,位置,地理 位置,nsubj 位置 好,The location is very good and the price is very good.,The,location,The location,nsubj location good,,
2443,non-code-switch,PIT,4027,PIT_68,替 房东 发 一 条 租房 信息 ：,6,条,租房,条 租房,compound:nn 租房 信息,Send a rental information for the landlord:,a,rental,a rental,amod rental information,,
2445,non-code-switch,PIT,2789,PIT_69,房间 ： 客厅 ， 卧室 都 有 空调,3,：,客厅,： 客厅,nmod:topic 客厅 有,Room: living room and bedroom are all air-conditioned,:,living room,: living room,compound living room,,
2447,non-code-switch,PIT,642,PIT_71,空调 和 说明书 完整 放在 原装 箱子 里 ， 带有 原来 的 塑料 泡沫 ， 非常 方便 搬运 。,13,的,塑料,的 塑料,compound:nn 塑料 泡沫,"The air conditioner and instruction manual are in the original box with the original plastic foam, which is very easy to carry.",original,plastic,original plastic,amod plastic foam,,
2449,non-code-switch,PIT,4246,PIT_72,非常 适合 情侣 / 朋友 / 家人 一起 住 ！,5,/,朋友,/ 朋友,dobj 适合 朋友,Perfect for couples/friends/family!,for,friends,for friends,conj couples friends,,
2451,non-code-switch,PIT,3297,PIT_75,这个 是 房子 的 户型,5,的,户型,的 户型,root 户型 户型,This is the size of the house,the,size,the size,root house size,,
2453,non-code-switch,PIT,620,PIT_78,可以 在家 做 烤肉 的 东西 ， 不 知道 怎么 翻译 了 。,6,的,东西,的 东西,dobj 做 东西,You can cook roast meat and things at home.,and,things,and things,conj meat things,,
2455,non-code-switch,PIT,587,PIT_82,衣架 若干 ， 买 床 可 赠送,1,</s>,衣架,</s> 衣架,root 赠送 衣架,"A number of hangers, buy a bed can be given away",of,hangers,of hangers,nmod number hangers,,
2457,non-code-switch,PIT,860,PIT_86,多 款 hp/toshiba 笔记本 直 降 $200-$300 ， 想 添置 电脑 的 同学 可以 考虑,11,添置,电脑,添置 电脑,dobj 200 -,Many HP/Toshiba notebooks are down $200-$300. Students who want to buy a computer should consider it,a,computer,a computer,obj buy computer,,
2459,non-code-switch,PIT,2560,PIT_88,大 厨房 ~~~,1,</s>,大,</s> 大,amod 大 厨房,Big kitchen ~ ~ ~,</s>,big,</s> big,amod Big kitchen,,
2461,non-code-switch,PIT,1100,PIT_89,位置 优越 ， 交通 便利 ， 环境 良好 ， 有 基础 家具 。,11,有,基础,有 基础,amod 基础 家具,"Superior location, convenient transportation, good environment, with basic furniture.",with,basic,with basic,amod basic furniture,,
2463,non-code-switch,PIT,844,PIT_90,推荐 这 款 厨房 神器 —— 面 包机 ！,4,款,厨房,款 厨房,compound:nn 厨房 神器,Recommend this kitchen magic - bread machine!,this,kitchen,this kitchen,compound kitchen machine,,
2465,non-code-switch,PIT,1480,PIT_91,公寓 地处 交通 便利 。,1,</s>,公寓,</s> 公寓,nsubj 公寓 地处,The apartment is conveniently located.,The,apartment,The apartment,nsubj:pass apartment located,,
2467,non-code-switch,PIT,12,PIT_92,购买 时间 或 物品 来源 方式 ：,1,</s>,购买,</s> 购买,root ： 购买,When to buy or how to source the goods:,to,buy,to buy,root buy,,
2469,non-code-switch,PIT,2655,PIT_94,街区 非常 安静 ， 治安 良好 的 犹太人 聚居 区域 。,3,非常,安静,非常 安静,root  安静,"It's a very quiet, safe Jewish area.",very,quiet,very quiet,amod quiet area,,
2471,non-code-switch,PIT,1789,PIT_100,位于 小区 中央 内部 ， 前后 门 都 不 临街 ， 后门 落地 窗 没有 任何 阻挡 视野 开阔 ， 采光 非常 好 。,18,阻挡,视野,阻挡 视野,compound:nn 视野 开阔,"Located in the center of the community, front and rear doors are not facing the street, the back door floor-to-ceiling window does not have any obstruction to open the field of vision, lighting is very good.",field,of vision,field of vision,nmod field vision,,
2473,non-code-switch,PIT,667,PIT_101,黑色 架子 ， 大概 1 .,4,，,大概,， 大概,root  大概,"Black rack, about 1.",", ",about,",  about",advmod about 1,,
2475,non-code-switch,PIT,1402,PIT_102,请 先 短信 告知,1,</s>,请,</s> 请,xcomp 请 告知,Please inform us by text first,</s>,please,</s> please,discourse Please inform,,
2477,non-code-switch,PIT,268,PIT_105,可以 提供 安装 说明 。,3,提供,安装,提供 安装,compound:nn 安装 说明,Installation instructions are available.,</s>,Installation,</s> Installation,compound Installation instructions,,
2479,non-code-switch,PIT,2218,PIT_110,有 后院 ， 既可 休闲 也 可 晾晒 衣物 。,4,",",既可,", 既可",compound:nn 既 可,"There is a backyard, both leisure and laundry can be drying.",leisure,and,leisure and,cc and laundry,,
2481,non-code-switch,PIT,81,PIT_118,有 兴趣 可以 联系 我 发 清晰 的 图 。,9,的,图,的 图,dobj 发 图,"If you are interested, please contact me to send a clear picture.",clear,picture,clear picture,obj send picture,,
2483,non-code-switch,PIT,49,PIT_123,底价 甩卖 ， 有效期 至 4/28 .,4,，,有效期,， 有效期,nsubj 有效期 至,"Base price on sale, valid until April 28th.",valid,until,valid until,case until April,,
2485,non-code-switch,PIT,2723,PIT_124,优先 考虑 收 家具 的 同学 。,6,的,同学,的 同学,dobj 考虑 同学,Priority will be given to those classmates who accept furniture.,those,classmates,those classmates,obl given classmates,,
2487,non-code-switch,PIT,889,PIT_129,电器 ， 乐器 ， 限定 电脑 ， 玩偶 。,3,，,乐器,， 乐器,nsubj 乐器 限定,"Electrical appliances, Musical Instruments, limited computers, dolls.",musical,instruments,musical instruments,conj appliances Instruments,,
2489,non-code-switch,PIT,2025,PIT_130,现在 租 可以 优惠 一 个 月 房租 ！,7,个,月,个 月,compound:nn 月 房租,Now rent can discount a month rent!,a,month,a month,compound month rent,,
2491,non-code-switch,PIT,4436,PIT_131,之后 就 可以 和 车主 商量 价钱 ， 进入 购买 阶段 。,1,</s>,之后,</s> 之后,advmod 之后 商量,Then you can discuss the price with the owner and enter the purchase stage.,</s>,then,</s> then,advmod Then discuss,,
2493,non-code-switch,PIT,870,PIT_132,建议 开车 来 拉 。,4,来,拉,来 拉,conj 建议 拉,Suggest driving to pull.,to,pull,to pull,xcomp driving pull,,
2495,non-code-switch,PIT,2108,PIT_134,卧室 三 全 新 家具 。,5,新,家具,新 家具,root  家具,The bedroom is fully furnished with new furniture.,fully,furnished,fully furnished,root furnished,,
2497,non-code-switch,PIT,3949,PIT_135,另 希望 租房 的 同学 同时 接手 一 批 家具 ， 详见 后面 物品 清单 部分 .,5,的,同学,的 同学,nsubj 同学 接手,"In addition, students who want to rent a house will also take over a batch of furniture, please refer to the item list below.",", ",students,",  students",nsubj students take,,
2499,non-code-switch,PIT,3692,PIT_137,租金 ： $450 全 包 。,4,450,全,450 全,advmod 450 全,Rental: $450 all inclusive.,$450,all,$450 all,advmod all inclusive,,
2501,non-code-switch,PIT,1281,PIT_141,还在 ， 继续 。,3,，,继续,， 继续,ccomp 还 ，,It's still there. Go on.,it’s,still,it’s still,advmod still there,,
2503,non-code-switch,PIT,2880,PIT_143,有意 向 可以 联系 我 给 发 房间 照片 ， 房间 很 大 。,8,发,房间,发 房间,compound:nn 房间 照片,"If interested, please contact me to send photos of the room. The room is very big.",the,room,the room,nsubj room big,,
2505,non-code-switch,PIT,2969,PIT_164,顶 -- 顶 -- 顶 --,1,</s>,顶,</s> 顶,root -- 顶,Top -- top -- top,</s>,Top,</s> Top,root top,,
2507,non-code-switch,PIT,1421,PIT_167,有 健身房 泳池 ， 性价比 高 ， 客厅 很 大 。,8,，,客厅,， 客厅,nsubj 客厅 大,"It has a gym pool, good value for money, and a big living room.",big,living room,big living room,compound living room,,
2509,non-code-switch,PIT,3657,PIT_173,长期 有效 。,2,长期,有效,长期 有效,root  有效,Long-term effect.,long-term,effect,long-term effect,root effect,,
2511,non-code-switch,PIT,1400,PIT_175,暖气 温度 可 自动 调节 。,2,暖气,温度,暖气 温度,nsubj 温度 调节,The heating temperature can be adjusted automatically.,heating,temperature,heating temperature,nsubj:pass temperature adjusted,,
2513,non-code-switch,PIT,2591,PIT_177,水压 测试 ， 是 正经 喷头,5,是,正经,是 正经,amod 正经 喷头,"Water pressure test, is a serious nozzle",a,serious,a serious,amod serious nozzle,,
2515,non-code-switch,PIT,3691,PIT_178,一 层 是 餐厅 ， 客厅 和 厨房 ；,4,是,餐厅,是 餐厅,conj 餐厅 厨房,"On the ground floor are the dining room, living room and kitchen;",dining,room,dining room,conj room room,,
2517,non-code-switch,PIT,3981,PIT_180,作息 时间 固定 ， 相互 不 打扰 。,7,不,打扰,不 打扰,dobj 不 打扰,"Fixed work and rest time, do not disturb each other.",don’t,disturb,don’t disturb,parataxis work disturb,,
2519,non-code-switch,PIT,4047,PIT_182,暑假 刚刚 被 房东 重新 装修 过 ， 欢迎 随时 联系 房东 看房 。,6,重新,装修,重新 装修,root  装修,"The summer vacation has just been redecorated by the landlord, welcome to contact the landlord at any time.",been,redecorated,been redecorated,root redecorated,,
2521,non-code-switch,PIT,3823,PIT_183,现在 依然 有效 ！,3,依然,有效,依然 有效,root  有效,It's still valid!,still,valid,still valid,root  valid,,
2523,non-code-switch,PIT,13,PIT_187,现在 状况 （ 新 旧 程度 ）,4,（,新,（ 新,amod 新 程度,Current status (old and new),and,new,and new,conj old new,,
2525,non-code-switch,PIT,2307,PIT_189,精装 修 家具 全 免费 无线 上网 !,5,全,免费,全 免费,amod 免费 上网,Hardcover repair furniture all free wireless Internet access!,all,free,all free,amod free access,,
2527,non-code-switch,PIT,1332,PIT_191,客厅 《 素雅 墙纸 ， 雕花 窗 架 》,3,《,素雅,《 素雅,root 》 素雅,"Living room ""simple and elegant wallpaper, carved window frame""",simple,but elegant,simple but elegant,conj simple elegant,,
2529,non-code-switch,PIT,1663,PIT_192,注意 啦 ~ 好 房子 找 主人,4,~,好,~ 好,amod 好 房子,Attention ~ good house to find the owner,~,good,~ good,amod good house,,
2531,non-code-switch,PIT,660,PIT_193,--------------------------------- 更新 内容 --------------------------------- -,2,---------------------------------,更新,--------------------------------- 更新,compound:nn 更新 ---------------------------------,-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- update content -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --,--,update,-- update,compound update content,,
2533,non-code-switch,PIT,538,PIT_194,有 兴趣 请 联系 微 信号 ： jenny_shao 。,2,有,兴趣,有 兴趣,dobj 有 兴趣,"If you are interested, please contact WeChat at jenny_shao.",are,interested,are interested,advcl interested contact,,
2535,non-code-switch,PIT,2748,PIT_196,煤气 和 水 大概 每 月 $20to $50 一 个 月 ， 取决于 使用 情况 。,6,每,月,每 月,dep 月 $,"Gas and water are about $20to $50 per month, depending on usage.",per,month,per month,nmod $ month,,
2537,non-code-switch,PIT,2160,PIT_197,周边 环境 十分 安全 安静 ， 附近 住 有 不少 中国 学生 和 访问 学者 。,11,不少,中国,不少 中国,nmod:assmod 中国 学生,"The surrounding environment is very safe and quiet, and there are many Chinese students and visiting scholars living nearby.",many,Chinese,many Chinese,amod Chinese students,,
2539,non-code-switch,PIT,637,PIT_200,有 兴趣 请 联系 我,2,有,兴趣,有 兴趣,dobj 有 兴趣,Please contact me if you are interested,are,interested,are interested,advcl contact interested,,
2541,non-code-switch,PIT,2248,PIT_201,房东 太太 联系 方式 ：,2,房东,太太,房东 太太,compound:nn 太太 方式,Contact information of the landlady:,the,landlady,the landlady,nmod information landlady,,
2543,non-code-switch,PIT,3744,PIT_205,我们 送 全套 厨具 ， 家具 在 出租 期间 都 可以 用 。,8,在,出租,在 出租,compound:nn 出租 期间,We send a complete set of kitchenware and furniture for the lease.,the,lease,the lease,obl send lease,,
2545,non-code-switch,PIT,3648,PIT_206,暑假 回国 房子 空 三 个 月 ！,1,</s>,暑假,</s> 暑假,nsubj 暑假 回国,Summer home empty house for three months!,summer,home,summer home,compound home house,,
2547,non-code-switch,PIT,613,PIT_207,还 有 一 个 打印机 和 茶几,5,个,打印机,个 打印机,conj 打印机 茶几,There is also a printer and an end table,a,printer,a printer,nsubj is printer,,
2549,non-code-switch,PIT,2618,PIT_208,公寓 环境 ： 物业 管理 规范 。,1,</s>,公寓,</s> 公寓,compound:nn 公寓 环境,Apartment environment: property management standards.,</s>,apartment,</s> apartment,compound Apartment environment,,
2551,non-code-switch,PIT,451,PIT_209,联系 方式 ： 可 打 电话 或 发 短信 ： 412-2730554,9,发,短信,发 短信,dobj 发 短信,Contact information: Call or text 412-2730554,or,text,or text,conj Call text,,
2553,non-code-switch,PIT,1282,PIT_211,房东 ： 美国人 ， 很 友好,3,:,美国人,: 美国人,nsubj 美国 很,"Landlord: American, very friendly",:,American,: American,appos Landlord American,,
2555,non-code-switch,PIT,902,PIT_212,杂七杂八 的 小 椅子 ， 小 板凳 ， 小 茶几 。,3,的,小,的 小,amod 小 椅子,"Miscellaneous small chairs, small bench, small end table.",Miscellaneous,small,Miscellaneous small,amod small table,,
2557,non-code-switch,PIT,4413,PIT_214,出门 在外 ， 你 的 平安 ， 就是 家人 的 幸福 。,9,就是,家人,就是 家人,nmod:assmod 家人 幸福,"Go out, your peace, is the happiness of the family.",the,family,the family,nmod happiness family,,
2559,non-code-switch,PIT,3629,PIT_217,底层 超大 地下室 ， 一 层 为 公共 区域 ： 客厅 餐厅 厨房 。,9,公共,区域,公共 区域,dep 区域 厨房,"The ground floor is large basement, and the first floor is public area: living room, dining room and kitchen.",public,area,public area,conj basement area,,
2561,non-code-switch,PIT,302,PIT_218,冰箱 有 冷冻 、 保险 两 个 独立 的 柜 。,8,个,独立,个 独立,amod 独立 柜,"Refrigerator has freezing, insurance two independent ark.",two,independent,two independent,amod independent ark,,
2563,non-code-switch,PIT,1388,PIT_219,出门 就 有 车站 58/65/93,2,出门,就,出门 就,advmod 就 有,You can get to it 58/65/93,to,it,to it,obl get it,,
2565,non-code-switch,PIT,1298,PIT_220,租金 $1420 / mo ， 包 水电 燃气 ， wifi $79 / mo,1,</s>,租金,</s> 租金,dep 租金 79,"Rent $1420 / mo, including utilities, WiFi $79 / mo",</s>,Rent,</s> Rent,root rent,,
2567,non-code-switch,PIT,794,PIT_222,如图 ， 价格 好 商量,1,</s>,如图,</s> 如图,root 商量 如图,"As shown in the figure, the price is easy to negotiate",</s>,As shown in figure,</s> As shown in figure,advcl shown easy,,
2569,non-code-switch,PIT,2530,PIT_227,可以 随时 看 房 ， 有 需要 的 联系 我 呗 ~,4,看,房,看 房,dobj 看 房,"You can see the room at any time, there is a need to contact me bai ~",the,room,the room,obj see room,,
2571,non-code-switch,PIT,2624,PIT_230,可分 为 三 个 独立 空间 ， 两 卧室 ， 一 个 客厅 。,5,个,独立,个 独立,amod 个 独立,"It can be divided into three separate Spaces, two bedrooms and a living room.",three,separate,three separate,amod separate Spaces,,
2573,non-code-switch,PIT,362,PIT_233,毕业 季 家具 低价 买 ， 东 西 还 在 不断 更新 中 ！,1,</s>,毕业,</s> 毕业,root  毕业,"Graduation season furniture to buy at a low price, the East West is still updating!",</s>,graduation,</s> graduation,compound Graduation season,,
2575,non-code-switch,PIT,1936,PIT_241,交通 ： 步行 到 匹大2-3 分钟 。,3,：,步行,： 步行,nsubj 步行 到,Transportation: 2-3 minutes walk to Pittsburgh.,minutes,walk,minutes walk,appos Transportation walk,,
2577,non-code-switch,PIT,3575,PIT_243,各个 房间 （ 卧室 、 卫生间 、 客厅 、 厨房 ） 均 有 窗户 ， 采光 通风 都 很 好 。,14,有,窗户,有 窗户,dobj 有 窗户,"Each room (bedroom, bathroom, living room, kitchen) has a window, light and ventilation are good.",a,window,a window,nsubj window good,,
2579,non-code-switch,PIT,1191,PIT_247,押金 是 一 个 月 的 房租 ， 最后 一 个 月 就 不用 交 房租 了 。,12,个,月,个 月,nsubj 月 交,"The deposit is one month's rent, and you don't have to pay the last month.",one,month,one month,obl:tmod pay month,,
2581,non-code-switch,PIT,930,PIT_248,电路 基础 charlesk .,2,电路,基础,电路 基础,nsubj 基础 charlesk,Circuit Basis Charlesk.,circuit,basis,circuit basis,root Basis,,
2583,non-code-switch,PIT,1675,PIT_251,环境 ： 周围 的 房子 住 的 基本上 都 是 匹 大 的 学生 。,12,匹,大,匹 大,amod 大 学生,Environment: The houses around are mostly filled with big students.,with,big,with big,amod big students,,
2585,non-code-switch,PIT,1063,PIT_252,下面 为 交通 ， 房间 结构 和 房间 的 照片 。,10,的,照片,的 照片,root  照片,"Below are photos of traffic, room structure and rooms.",are,photos,are photos,nsubj Below photos,,
2587,non-code-switch,PIT,725,PIT_254,一 年 前 换 了 两 个 轮胎 ，,8,个,轮胎,个 轮胎,dobj 换 轮胎,"I changed two tires a year ago,",two,tires,two tires,obj changed tires,,
2589,non-code-switch,PIT,3586,PIT_259,房东 很 好 ， 有 任何 问题 都 可以 及时 解决 。,3,很,好,很 好,root  好,The landlord is very kind and any problems can be solved promptly.,very,kind,very kind,root kind,,
2591,non-code-switch,PIT,1810,PIT_262,全景 落地窗 和 后院 ， 中央 空调 。,3,落地窗,和,落地窗 和,cc 和 后院,"Panoramic Windows and backyard, central air conditioning.",Windows,and,Windows and,cc and backyard,,
2593,non-code-switch,PIT,2361,PIT_263,有 独立 洗衣机 ；,2,有,独立,有 独立,amod 独立 洗衣机,It has its own washing machine;,its,own,its own,amod own machine,,
2595,non-code-switch,PIT,455,PIT_264,新人 报道 ， 置办 家具 ， 求购 面包 机 + 体重 秤 。,12,体重,秤,体重 秤,dobj 求购 秤,"Newcomers report, buy furniture, buy toaster + weight scale.",weight,scale,weight scale,conj toaster scale,,
2597,non-code-switch,PIT,2732,PIT_265,公寓 有 两 间 卧室 ， 宽敞 的 客厅 。,7,，,宽敞,， 宽敞,amod 宽敞 客厅,The apartment has two bedrooms and a spacious living room.,a,spacious,a spacious,amod spacious room,,
2599,non-code-switch,PIT,4459,PIT_267,同一天 ， 此 案 主犯 认罪 。,3,，,此,， 此,det 此 案,The ringleader pleaded guilty the same day.,same,day,same day,obl:tmod pleaded day,,
2601,non-code-switch,PIT,1086,PIT_271,验证 信息 ： 租房,1,</s>,验证,</s> 验证,root 租房 验证,Verification information: rental,</s>,Verification,</s> Verification,compound Verification information,,
2603,non-code-switch,PIT,2232,PIT_272,房子 照片 大门 精装 厨房 配电 视 客厅,7,配电,视,配电 视,root 客厅 视,House photo door hardcover kitchen power distribution depending on the living room,depending,on the,depending on the,case on room,,
2605,non-code-switch,PIT,2798,PIT_279,有 法律 规定 的 正规 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,5,的,正规,的 正规,amod 正规 合同,"There are legal provisions of the formal rental contract, to protect the rights and interests of both sides, at ease to stay.",the,formal,the formal,amod formal contract,,
2607,non-code-switch,PIT,624,PIT_289,家具 包括 家里 都会 有的 餐桌 椅子 沙发 电视 各种各样 的 柜子 。,2,家具,包括,家具 包括,root  包括,"Furniture includes a dining table, chairs, sofa, TV, all kinds of cabinets.",furniture,includes,furniture includes,root includes,,
2609,non-code-switch,PIT,3620,PIT_294,全 包围 式 的 公寓 ， 很 安全 ， 住户 几乎 全 是 学生 ， 天井 院子 很 大 ， 环境 舒适 。,2,全,包围,全 包围,compound:nn 包围 式,"Fully enclosed apartment, very safe, almost all the residents are students, patio yard is very large, comfortable environment.",fully,enclosed,fully enclosed,amod enclosed apartment,,
